WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,BLDG_GFA,BTTM_AREA,BLDG_STTS_NM,SPFPTG_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,VHCL_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
230109183931067,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,2,3974384.0,725.0,사용중,종교시설,,,0,0,0,458,금,서초소방서,반포119안전센터,20230109135400,20230109135400,20230109135400,20230109135700,20230109135700,20230109153700,000000,000180,서울특별시,서초구,1,1,0.0,작동기기,작동기기,전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",,,,,집합시설,종교시설,성당,3.0,6.0,N,N,N,,,,,6.4,0~4 m/s,동,44.0
230101132351197,"건축,구조물",기타 식,컨테이너조,컨테이너,1.0,1,0,18.0,18.0,공가,,,,0,0,0,1337,일,동부소방서,내수안전센터,20230101115751,20230101115836,20230101120758,20230101121317,20230101122236,20230101130837,000562,000878,충청북도,청주시 청원구,13,4,0.0,작동기기,작동기기,전기적 요인,트래킹에 의한 단락,"종이,목재,건초등","목재, 합판",,,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택,1.0,0.0,N,N,N,,,,,3.0,0~4 m/s,북서,30.0
230101055435110,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,0,216.0,54.0,사용중,,가스,액화천연가스(LNG),0,0,0,0,일,해운대소방서,반여119안전센터,20230101045153,20230101045439,20230101050110,20230101050123,20230101050123,20230101051234,000391,000013,부산광역시,해운대구,6,2,0.0,작동기기,작동기기,부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,,,주거,공동주택,다세대주택,1.0,0.0,N,N,N,,,,,-0.6,0~4 m/s,서,59.0
230101181128988,임야,,,,,,,,,,,,,0,0,0,12669,일,예천소방서,지보119안전센터,20230101135751,20230101135834,20230101140907,20230101150423,20230101152319,20230101164319,000633,004452,경상북도,예천군,19,0,6.0,미상(발화원인),미상(발화원인),부주의,쓰레기 소각,쓰레기류,쓰레기,,,,,임야,산불,사유림,,,N,N,N,,,사유림,산아래,7.5,0~4 m/s,서,20.0
230101174707515,"건축,구조물",조립식,샌드위치패널조,샌드위치패널,1.0,1,,16.0,16.0,사용중,,,,0,0,0,6164,일,서귀포소방서,중문센터,20230101155304,20230101155502,20230101160218,20230101160646,20230101160923,20230101164942,000436,000425,제주특별자치도,서귀포시,8,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,기타,기타,,,,,산업시설,창고시설,기타 창고,1.0,0.0,N,N,N,,,,,9.7,0~4 m/s,북,45.0
230125153048341,"자동차,철도차량",,,,,,,,,,,유류,경유,0,0,0,2178,수,미추홀소방서,용현119안전센터,20230125140130,20230125140226,20230125140736,20230125140908,20230125141036,20230125143836,000310,000180,인천광역시,미추홀구,3,2,0.0,작동기기,작동기기,전기적 요인,미확인단락,"전기,전자",전선피복,"차량, 선박부품",배선,,,"자동차,철도차량",자동차,승용자동차,,,N,N,N,일반도로,기타차량위치,,,-9.0,0~4 m/s,서,30.0
230125205120065,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,1902.0,41314.0,사용중,,전기,380/220V이상 상용전원,0,0,0,1829,수,화성소방서,태안119안전센터,20230125121025,20230125121109,20230125121809,20230125121809,20230125121902,20230125124241,000420,000053,경기도,화성시,7,3,0.0,작동기기,작동기기,기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",산업장비,히터/히터봉/가열장치,합성수지,"플라스틱, PVC, 비닐, 장판","판매,업무시설",판매시설,기타 판매시설,-1.0,0.0,N,N,N,,,,,-9.7,0~4 m/s,서,31.0
230120165001883,"건축,구조물",한식(옥),목조,스레트가,1.0,1,0,151.0,151.0,사용중,,,,0,0,0,1704,금,산청소방서,산악구조대,20230120143035,20230120143122,20230120143736,20230120144737,20230120151634,20230120160550,000374,002338,경상남도,산청군,26,6,0.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",,,"종이,목재,건초등",나무,주거,단독주택,단독주택,1.0,0.0,N,N,N,,,,,3.6,0~4 m/s,북동,27.0
230125172433384,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,,4,0,729.0,182.0,사용중,,,,0,0,0,342,수,종로소방서,숭인119안전센터,20230125114755,20230125115010,20230125115333,20230125115333,20230125115333,20230125115333,000203,000000,서울특별시,종로구,2,1,0.0,미상(발화원인),미상(발화원인),미상,미상,미상,미상,,,,,"판매,업무시설",판매시설,상점가,1.0,0.0,N,N,N,,,,,-10.7,0~4 m/s,남서,41.0
230125011142561,기타(쓰레기 화재등),,,,,,,,,,,고체연료,화학연료,0,0,0,17,수,진주소방서,상대119안전센터,20230125002213,20230125002252,20230125002551,20230125002747,20230125003438,20230125003856,000179,000527,경상남도,진주시,2,2,0.0,"폭발물, 폭죽","폭발물, 폭죽",부주의,폭죽놀이,"종이,목재,건초등",잔디,기타,기타,"종이,목재,건초등",잔디,기타,야외,기타야외,,,N,N,N,,,,,-10.4,0~4 m/s,북동,26.0
