MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU412019887688,시흥소방서,연성119안전센터,퀸노래연습장,노래연습장업,20211230111101,20211230,111101,2021,12,30,,20190108,20190311,20210528,경기도 시흥시 조남동 ,목감남서로,,콘크리트. 유리. 석고. 방화석고,586.0,의자 천장 벽체 문 틀 등 (필름),117.0,3/9,,양식(옥),철근콘크리트조,,Y
MU412019884288,광주소방서,오포119안전센터,설빙태전점,휴게음식점,20211020073920,20211020,073920,2021,10,20,근린생활시설,20190211,20190320,,경기도 광주시 태전동 ,태전동로,에듀프라자,콘크리트.타일.불연재보드.유리,402.0,합판,8.0,2/4,,양식(옥),철근콘크리트조,,Y
MU422019180710,양양소방서,양양119안전센터,설해 펍,일반음식점,20210805134510,20210805,134510,2021,08,05,숙박시설,20190422,20190429,20200710,강원도 양양군 손양면 동호리,공항로,설해스테이,석고. 타일. 유리,596.0,실내장식물,111.0,3/6,설해원(구.골든비치리조트설해스테이) - 2동(설해스테이)동,양식(옥),철근콘크리트조,,Y
MU422019180730,양양소방서,양양119안전센터,설해 베이커리,제과점,20210805134453,20210805,134453,2021,08,05,숙박시설,20190413,20190429,20200710,강원도 양양군 손양면 동호리,공항로,설해스테이,석고. 타일,200.0,,33.0,3/6,설해원(구.골든비치리조트설해스테이) - 2동(설해스테이)동,양식(옥),철근콘크리트조,,Y
MU422019180750,양양소방서,양양119안전센터,설해 스크린골프,,20210805134524,20210805,134524,2021,08,05,숙박시설,20190412,20190429,20200710,강원도 양양군 손양면 동호리,공항로,설해스테이,석고. 유리,255.0,스크린. 카페트. 블라인드,189.0,3/6,설해원(구.골든비치리조트설해스테이) - 2동(설해스테이)동,양식(옥),철근콘크리트조,,Y
MU442019219611,천안서북소방서,불당119안전센터,자코모천안점,휴게음식점,20210104092308,20210104,092308,2021,01,04,,20190219,20190305,,충청남도 천안시 서북구 불당동 ,불당34길,,방화석고보드,504.0,방염도료,37.0,지하2/지상5,,양식(옥),철근콘크리트조,,Y
MU272019164779,동부소방서,신천119안전센터,티지아이에프(T.G.I.F) 현대시티아울렛 대구점,일반음식점,20210810103942,20210810,103942,2021,08,10,,20190405,20190429,20210722,대구광역시 동구 신천동 ,동대구로,,석고. 유리. 타일,333.0,합판(필름. 도료),203.0,6/8,,양식(옥),철골조,Y,Y
MU112019798734,송파소방서,종합운동장119안전센터,오사카부루스(신천점),일반음식점,20210507160518,20210507,160518,2021,05,07,복합건축물,20190425,20190426,,서울특별시 송파구 잠실동 ,백제고분로7길,,콘크리트. 석고보드. 유리. 타일. 테라코트. 방화석고보드,449.0,후처리,79.0,지상:4층 지하:1층,오사카부루스(신천점),양식(옥),철골철근콘크리트조,,
MU312019140376,남부소방서,삼산119안전센터,홍보석(울산점),일반음식점,20210224091123,20210224,091123,2021,02,24,,20190415,20190425,,울산광역시 남구 삼산동 ,삼산로,현대백화점,유리.석고보드.콘크리트.타일,856.0,,,7/14,,양식(옥),철근콘크리트조,Y,Y
MU112019798150,광진소방서,현장대응단,휴식 군자점,고시원업,20211207011945,20211207,011945,2021,12,07,복합건축물,20190221,20190318,,서울특별시 광진구 중곡동 ,천호대로,삼원유치원,타일.석고보드.ALC블록,1259.0,도료,6.0,지상:5층 지하:1층,휴식 군자점,양식(옥),철근콘크리트조,,Y
MU472019225068,경주소방서,동부119안전센터,린짬뽕(구.그곳에 가고싶다,일반음식점,20211123094928,20211123,094928,2021,11,23,,20190114,20190321,20210930,경상북도 경주시 성건동 ,북문로,,콘크리트. 타일. 석고보드,589.0, 목재(방염도료132.12). 방염필름62.01,,0/4,,양식(옥),철근콘크리트조,,Y
