adm_cd,adm_nm,gu_cd,fire_rate_per_10k,v2_pred_fire_rate,v2_risk_score,v2_risk_grade,log_avg_living_pop,ratio_65plus,old_bldg_ratio,avg_floors,damage_per_fire,injury_per_fire,avg_living_pop,fire_count,fire_damage,fire_injury,shap_생활인구 (log),shap_65세+ 비율,shap_노후건물비율 (구단위),shap_평균 층수 (구단위),shap_화재당 재산피해 (log),shap_화재당 부상자 수
1114065000,서울특별시 중구 신당5동,11140,25.1347,14.3613,8.14,매우높음,9.061983051100562,0.1599,0.5778,3.2,8.444631986202427,0.014705882352941175,8620.230053511645,21.666666666666668,105378.33333333331,0.3333333333333333,0.11994818227374145,-0.00022705255809740878,0.0001951816926015963,0.022787984488550954,0.019730297361082106,0.0032652282534591376
1111071000,서울특별시 종로구 숭인2동,11110,20.5896,14.3033,8.06,매우높음,9.417754544288517,0.1776,0.3906,2.58,8.90391495908701,0.037974683544303806,12303.921020160116,25.33333333333333,193806.3333333333,1.0,0.06993109517776767,-0.0015996038826616708,0.005613036505030223,0.05754456599630396,0.02941700582599384,0.0007457119463715978
1154569000,서울특별시 금천구 시흥3동,11545,16.9639,14.3015,8.06,매우높음,9.212567419359003,0.1722,0.6476,3.1,9.335250214878583,0.05555555555555555,10021.295290947965,17.0,203930.3333333333,1.0,0.09877787603311311,-0.0011808594107607087,-0.0018249372492120687,0.02839388473173693,0.0385142707370993,-0.001157922596761208
1141069000,서울특별시 서대문구 남가좌1동,11410,20.6688,14.2957,8.05,매우높음,9.072201989768368,0.1412,0.6647,2.75,7.254562397435969,0.03508771929824561,8708.78155525837,18.0,26857.33333333333,0.6666666666666666,0.11851152544439263,0.001223044039041103,-0.0023198374484242994,0.04801453558288782,-0.005369385927710392,0.0010583087766123543
1141065500,서울특별시 서대문구 홍제2동,11410,10.0087,14.2548,8.0,매우높음,9.209569929180551,0.1886,0.6647,2.75,8.184226318972497,0.0303030303030303,9991.29853919214,10.0,39412.66666666666,0.3333333333333333,0.09919928620845203,-0.0024526018809784412,-0.0023198374484242994,0.04801453558288782,0.014238097715132994,0.00157638883792046
1111068000,서울특별시 종로구 창신2동,11110,16.6762,14.2355,7.97,매우높음,9.126495177659534,0.2064,0.3906,2.58,6.85751406254539,0.040816326530612235,9194.736002965794,15.333333333333334,15516.666666666666,0.6666666666666666,0.11087857238472794,-0.003832907732800128,0.005613036505030223,0.05754456599630396,-0.01374350753384755,0.0004380224447060521
1114058000,서울특별시 중구 장충동,11140,14.7987,13.9978,7.65,매우높음,9.387561227342404,0.1082,0.5778,3.2,9.50019686437678,0.07142857142857142,11937.947420724164,17.666666666666668,249412.0,1.3333333333333333,0.07417590341093384,0.003782038033991418,0.0001951816926015963,0.022787984488550954,0.041993150208545646,-0.0028766326414182567
1114061500,서울특별시 중구 신당동,11140,18.5477,13.8844,7.49,매우높음,10.003612475411549,0.1294,0.5778,3.2,13.25836301307592,0.06349206349206349,22105.17975656841,41.0,24059269.0,2.6666666666666665,-0.012433309300718395,0.002138078255417277,0.0001951816926015963,0.022787984488550954,0.12125639747527397,-0.0020172776190897326
1114068000,서울특별시 중구 중림동,11140,18.329,13.8488,7.45,매우높음,9.07455763453951,0.1408,0.5778,3.2,6.861136285526599,0.0392156862745098,8729.322891183312,16.0,16208.666666666666,0.6666666666666666,0.11818035082264437,0.0012540621480708026,0.0001951816926015963,0.022787984488550954,-0.013667111455426654,0.00061133774332693
1117066000,서울특별시 용산구 이태원2동,11170,17.9875,13.8545,7.45,매우높음,9.316484766180372,0.1345,0.7379,2.75,7.536837900140974,0.047619047619047616,11118.824287327148,20.0,39372.66666666666,1.0,0.08416837784040379,0.0017425973652885902,-0.004438357599438059,0.04801453558288782,0.0005840690508544762,-0.00029856757443268384
