adm_cd,adm_nm,fire_count,fire_death,fire_injury,fire_damage,avg_living_pop,avg_65plus_pop,ratio_65plus,multi_use_cnt,old_bldg_ratio,avg_floors,cntr_dist_avg,dispatch_delay_avg,fire_rate_per_10k
1120069000,서울특별시 성동구 성수2가3동,55.333333333333336,0.0,1.0,285754.6666666667,33936.46627424491,3085.3858889828966,0.0909,0.0,0.75,3.32,1.7439759036144578,3.943131313131313,16.305
1120072000,서울특별시 성동구 송정동,12.0,0.0,0.0,18395.333333333332,9965.082251009826,1333.1168366448326,0.1338,0.0,0.75,3.32,2.305555555555556,4.57962962962963,12.042
1120079000,서울특별시 성동구 용답동,39.333333333333336,0.0,3.0,83828.0,19715.98499276747,2950.0624583151384,0.1496,0.0,0.75,3.32,2.9135593220338984,4.025498575498576,19.95
1120053500,서울특별시 성동구 왕십리도선동,26.666666666666668,0.0,0.0,37419.0,29088.81168804585,3863.696117749272,0.1328,0.0,0.75,3.32,1.257746478873239,3.19875,9.1673
1120061500,서울특별시 성동구 금호2·3가동,24.666666666666668,0.0,1.3333333333333333,74870.66666666667,20526.929472834792,3542.441222898472,0.1726,0.0,0.75,3.32,1.281081081081081,3.5695945945945944,12.0167
1120064500,서울특별시 성동구 옥수동,19.666666666666668,0.0,0.0,31406.333333333332,27393.87469389556,4521.972262054222,0.1651,0.0,0.75,3.32,2.515254237288136,5.100847457627118,7.1792
1121571000,서울특별시 광진구 화양동,66.33333333333333,0.0,1.0,116313.33333333333,40073.37182522744,3123.493144423217,0.0779,2.0,0.6359,3.27,1.3823232323232322,3.6001683501683504,16.553
1121573000,서울특별시 광진구 군자동,29.333333333333332,0.0,2.0,51928.0,21318.41127562773,2346.5815465429405,0.1101,0.0,0.6359,3.27,1.266279069767442,3.462835249042145,13.7596
1121574000,서울특별시 광진구 중곡1동,18.666666666666668,0.0,0.6666666666666666,158908.0,15344.050650327512,2207.2949459970887,0.1439,0.0,0.6359,3.27,1.5714285714285714,3.980357142857143,12.1654
1121575000,서울특별시 광진구 중곡2동,24.333333333333332,0.0,0.6666666666666666,60654.666666666664,18425.96791088064,2747.8947237627367,0.1491,0.0,0.6359,3.27,1.3833333333333333,3.200913242009132,13.206
1121576000,서울특별시 광진구 중곡3동,20.0,0.0,1.0,52264.666666666664,15127.837971497453,2611.2048172034206,0.1726,0.0,0.6359,3.27,1.0666666666666669,2.8951977401129945,13.2207
1121577000,서울특별시 광진구 중곡4동,29.333333333333332,0.6666666666666666,2.0,91216.0,24682.064336359643,4591.249837255949,0.186,0.0,0.6359,3.27,1.4783132530120482,3.671212121212122,11.8845
1121578000,서울특별시 광진구 능동,14.666666666666666,0.0,1.6666666666666667,34064.0,15181.689166175402,1912.677391639374,0.126,0.0,0.6359,3.27,1.2048780487804878,3.328030303030303,9.6608
1121585000,서울특별시 광진구 구의1동,30.666666666666668,0.0,0.6666666666666666,69897.33333333333,24103.10804341339,3023.186238127729,0.1254,0.0,0.6359,3.27,1.276470588235294,3.481340579710145,12.7231
1121586000,서울특별시 광진구 구의2동,27.666666666666668,0.0,0.0,24198.333333333332,20746.476275827878,3296.830589073872,0.1589,0.0,0.6359,3.27,1.5132530120481926,3.7309236947791167,13.3356
1121587000,서울특별시 광진구 구의3동,26.0,0.0,0.3333333333333333,33515.666666666664,30647.01734836245,4051.9684738992,0.1322,0.0,0.6359,3.27,1.796153846153846,4.238247863247863,8.4837
1121581000,서울특별시 광진구 광장동,26.0,0.0,1.0,139318.0,35564.514818276926,4186.841956532024,0.1177,0.0,0.6359,3.27,2.578205128205128,4.82457264957265,7.3107
1121582000,서울특별시 광진구 자양1동,30.333333333333332,0.0,1.6666666666666667,57032.666666666664,24601.61977249818,3286.877600964338,0.1336,0.0,0.6359,3.27,1.97,4.186446886446886,12.3298
1121583000,서울특별시 광진구 자양2동,26.333333333333332,0.0,0.6666666666666666,53044.0,21198.555853002184,3306.403670533115,0.156,0.0,0.6359,3.27,2.4063291139240506,5.150843881856541,12.4222
1121584000,서울특별시 광진구 자양3동,19.0,0.0,0.3333333333333333,75271.33333333333,23916.718999445053,3390.9091812954875,0.1418,0.0,0.6359,3.27,2.085964912280702,4.274853801169591,7.9442
1121584700,서울특별시 광진구 자양4동,40.666666666666664,0.3333333333333333,1.3333333333333333,138971.66666666666,26321.649089628823,3726.828150263828,0.1416,0.0,0.6359,3.27,1.7508620689655172,3.580054644808743,15.4499
1123071000,서울특별시 동대문구 회기동,19.333333333333332,0.0,3.0,50566.666666666664,20417.245588073147,2511.337708251456,0.123,9.0,0.6955,3.25,1.1448275862068966,3.297126436781609,9.4691
1123072000,서울특별시 동대문구 휘경1동,20.0,0.0,1.0,27735.0,16853.215535789666,2366.2993762463607,0.1404,0.0,0.6955,3.25,1.4345454545454546,3.0816666666666666,11.8672
1123073000,서울특별시 동대문구 휘경2동,22.666666666666668,0.3333333333333333,0.3333333333333333,91786.66666666667,19813.019673253275,3020.31653742722,0.1524,0.0,0.6955,3.25,1.1523076923076925,3.377450980392157,11.4403
1123070500,서울특별시 동대문구 청량리동,24.666666666666668,0.6666666666666666,2.3333333333333335,172951.33333333334,19930.690733151383,4973.398905485808,0.2495,1.0,0.6955,3.25,1.1768115942028985,3.295045045045045,12.3762
1123053600,서울특별시 동대문구 용신동,49.0,0.0,2.6666666666666665,202766.33333333334,41281.53746358261,7328.853993104075,0.1775,0.0,0.6955,3.25,1.214074074074074,3.1776643990929707,11.8697
1123054500,서울특별시 동대문구 제기동,57.333333333333336,0.6666666666666666,4.666666666666667,1365856.0,32148.903746106254,6811.598322298035,0.2119,2.0,0.6955,3.25,1.41812865497076,3.455910852713178,17.8337
1123056000,서울특별시 동대문구 전농1동,34.666666666666664,1.6666666666666667,3.3333333333333335,68397.0,31248.205501055312,5190.466498107715,0.1661,0.0,0.6955,3.25,1.075,3.15625,11.094
1123057000,서울특별시 동대문구 전농2동,12.333333333333334,1.0,0.6666666666666666,214023.33333333334,16113.840690629157,2714.244489620119,0.1684,0.0,0.6955,3.25,1.6324324324324324,3.877027027027027,7.6539
1123061000,서울특별시 동대문구 답십리2동,20.333333333333332,0.3333333333333333,1.0,34928.666666666664,21908.082358333337,4102.735141020743,0.1873,0.0,0.6955,3.25,1.6508196721311477,3.8131147540983608,9.2812
