adm_cd,avg_living_pop,avg_65plus_pop,ratio_65plus
1126056500,26894.28781298217,4739.498548007641,0.1762
1126057000,18334.636637918484,3684.2315432405385,0.2009
1126057500,20259.765043986536,3694.125077356259,0.1823
1126058000,17558.17922378093,2886.527750554949,0.1644
1126059000,25610.85729102984,3846.78138845524,0.1502
1126060000,15212.699963746361,2844.6167333879184,0.187
1126061000,25722.057506231806,5217.39667231623,0.2028
1126062000,25699.056480221978,4716.780066921397,0.1835
1126063000,18689.70919220342,3351.4275933133185,0.1793
1126065500,39001.98964354076,6874.533817239811,0.1763
1126066000,11800.39107544301,2483.275078672236,0.2104
1126068000,34117.48501199054,5702.457419768923,0.1671
1126069000,17518.435489283114,3492.7875381459244,0.1994
1129052500,20914.934138191413,3525.054484861718,0.1685
1129055500,25803.272455613172,3471.621916229986,0.1345
1129057500,24854.671472298036,2946.759608533479,0.1186
1129058000,12871.115863400655,2659.684565675036,0.2066
1129059000,14156.808172507279,2267.768046797671,0.1602
1129060000,25598.238840010916,2766.106627674673,0.1081
1129061000,15832.443631040756,2548.261281513828,0.161
1129062000,14065.53738746361,2349.3496001728527,0.167
1129063000,19540.72780680495,3552.8186724344982,0.1818
1129064000,15895.445164419578,2223.6844046852257,0.1399
1129065000,18254.475577438137,3675.4528335061864,0.2013
1129066000,35486.48089476892,4777.761677210699,0.1346
1129068500,18130.58290179221,3006.555851846798,0.1658
1129070500,38404.497028193226,6253.5697850072775,0.1628
1129071500,24519.044510944324,3940.636862709243,0.1607
1129072500,22489.33422693777,3824.6147932769286,0.1701
1129076000,21419.81247430859,3758.5039636008005,0.1755
1129077000,12013.191241675764,2589.971102783843,0.2156
1129078000,7843.090877283478,1347.9563883096798,0.1719
1129081000,26996.273093668122,5322.886767621906,0.1972
1130553400,22770.979631277292,4908.052179921761,0.2155
1130553500,22686.1015860353,4615.114671397379,0.2034
1130554500,34755.38376391921,6790.237492840247,0.1954
1130555500,26638.844303411573,5671.982101391922,0.2129
1130557500,20914.261374545124,3370.574956340975,0.1612
1130559000,17716.590576046216,3344.244106459243,0.1888
1130560000,12471.754511162662,2955.4419520014553,0.237
1130560600,14862.428252917933,3735.860888507452,0.2514
1130561000,17171.10721133552,3664.2417507732894,0.2134
1130562000,17855.115679830786,4002.0966563682678,0.2241
1130563000,28044.15502562773,4800.554801774017,0.1712
1130564500,18846.512726200875,4188.258317767467,0.2222
1130566000,27487.59176390102,6058.986049781659,0.2204
1132051100,20841.47360988901,4091.150922780204,0.1963
1132051200,28783.500465602257,5382.667810462154,0.187
1132051300,10418.915853684497,2141.1646479712517,0.2055
1132051400,28040.58989808952,5256.330353429767,0.1875
1132051500,19799.71595458515,3738.9988501546577,0.1888
1132052100,18209.179920796945,5013.498656240903,0.2753
1132052200,18978.20082731077,4364.810066712154,0.23
