adm_cd,adm_nm,sigungu_nm,fire_rate_per_10k,pred_fire_rate,risk_score,risk_grade,ratio_65plus,old_bldg_ratio,avg_floors,multi_use_cnt,multi_use_per_pop,avg_living_pop,avg_65plus_pop,fire_count,fire_injury,fire_damage
1120066000,서울특별시 성동구 성수1가2동,성동구,17.2555,16.0751,5.93,매우높음,0.1049,0.75,3.32,0.0,0.0,20283.36201429221,2127.2578874545125,35.0,1.0,46410.66666666666
1111070000,서울특별시 종로구 숭인1동,종로구,13.3859,16.0846,5.93,매우높음,0.1889,0.3906,2.58,0.0,0.0,7470.542700827875,1411.0469195232895,10.0,0.6666666666666666,55034.333333333336
1117055500,서울특별시 용산구 청파동,용산구,16.7248,16.0323,5.91,매우높음,0.1268,0.7379,2.75,0.0,0.0,22521.44583766376,2856.8123933406114,37.66666666666666,0.6666666666666666,50530.0
1147056000,서울특별시 양천구 신월1동,양천구,17.5548,16.0255,5.9,매우높음,0.2068,0.6145,3.1,0.0,0.0,14810.767849972708,3063.435864774381,26.0,0.3333333333333333,50905.66666666666
1141064000,서울특별시 서대문구 홍제3동,서대문구,15.8959,15.988,5.89,매우높음,0.218,0.6647,2.75,0.0,0.0,15098.187601746726,3291.643812827511,24.0,1.0,74646.33333333333
1111068000,서울특별시 종로구 창신2동,종로구,16.6762,15.9167,5.85,매우높음,0.2064,0.3906,2.58,0.0,0.0,9194.736002965794,1897.975434989083,15.333333333333334,0.6666666666666666,15516.666666666666
1111069000,서울특별시 종로구 창신3동,종로구,19.107,15.9055,5.85,매우높음,0.1704,0.3906,2.58,0.0,0.0,4884.762183615357,832.4218563591703,9.333333333333334,0.3333333333333333,12905.666666666666
1153053000,서울특별시 구로구 구로2동,구로구,20.3463,15.9067,5.85,매우높음,0.1678,0.5993,3.43,0.0,0.0,33585.084387145194,5633.946887372635,68.33333333333333,4.333333333333333,211769.66666666663
1114054000,서울특별시 중구 회현동,중구,15.4014,15.8831,5.84,매우높음,0.131,0.5778,3.2,0.0,0.0,25755.292134088428,3373.1595001455603,39.66666666666666,2.333333333333333,531674.0
1141052000,서울특별시 서대문구 천연동,서대문구,16.0221,15.7876,5.79,매우높음,0.1756,0.6647,2.75,0.0,0.0,16227.594305467614,2849.9868003184138,26.0,0.6666666666666666,50254.0
1120069000,서울특별시 성동구 성수2가3동,성동구,16.305,15.7361,5.77,매우높음,0.0909,0.75,3.32,0.0,0.0,33936.46627424491,3085.3858889828966,55.333333333333336,1.0,285754.6666666667
1114064500,서울특별시 중구 청구동,중구,13.2086,15.667,5.74,매우높음,0.1801,0.5778,3.2,0.0,0.0,11356.272358333334,2045.3704629093888,15.0,4.666666666666667,192567.66666666663
1156067000,서울특별시 영등포구 신길5동,영등포구,17.0785,15.6463,5.73,매우높음,0.1715,0.554,3.37,0.0,0.0,9563.664175836971,1640.6313714792575,16.333333333333332,1.0,42118.333333333336
1144071000,서울특별시 마포구 연남동,마포구,17.7291,15.6325,5.72,매우높음,0.11,0.6235,3.22,2.0,1.1080706651247978,18049.390376874093,1986.2632542121544,32.0,1.6666666666666667,40076.333333333336
1154551000,서울특별시 금천구 가산동,금천구,14.3659,15.5468,5.68,매우높음,0.0671,0.6476,3.1,7.0,1.1738695279906874,59631.84010732351,3999.683328548035,85.66666666666667,3.6666666666666665,401115.3333333333
1120055000,서울특별시 성동구 사근동,성동구,16.7833,15.4264,5.63,매우높음,0.0941,0.75,3.32,0.0,0.0,23833.17365098925,2242.8618224337065,40.0,2.0,41194.333333333336
1147057000,서울특별시 양천구 신월2동,양천구,16.0292,15.4056,5.62,매우높음,0.177,0.6145,3.1,0.0,0.0,13309.033811672123,2355.973694969068,21.33333333333333,2.0,64736.333333333336
