adm_cd,adm_nm,year,fire_count,death_cnt,injury_cnt,property_damage
1121574000,서울특별시 광진구 중곡1동,2023,10,0,0,18328
1121574000,서울특별시 광진구 중곡1동,2024,21,0,3,49472
1121575000,서울특별시 광진구 중곡2동,2021,57,0,2,133951
1121575000,서울특별시 광진구 중곡2동,2022,9,0,0,1373
1121575000,서울특별시 광진구 중곡2동,2023,7,0,0,46640
1121575000,서울특별시 광진구 중곡2동,2024,13,0,4,53756
1121576000,서울특별시 광진구 중곡3동,2021,39,0,2,135626
1121576000,서울특별시 광진구 중곡3동,2022,7,0,1,2797
1121576000,서울특별시 광진구 중곡3동,2023,14,0,0,18371
1121576000,서울특별시 광진구 중곡3동,2024,8,0,0,2172
1121577000,서울특별시 광진구 중곡4동,2021,70,2,6,252373
1121577000,서울특별시 광진구 중곡4동,2022,6,0,0,8044
1121577000,서울특별시 광진구 중곡4동,2023,12,0,0,13231
1121577000,서울특별시 광진구 중곡4동,2024,14,1,0,48567
1121578000,서울특별시 광진구 능동,2021,33,0,2,93185
1121578000,서울특별시 광진구 능동,2022,6,0,1,6482
1121578000,서울특별시 광진구 능동,2023,5,0,2,2525
1121578000,서울특별시 광진구 능동,2024,11,0,0,2447
1121581000,서울특별시 광진구 광장동,2021,61,0,3,396496
1121581000,서울특별시 광진구 광장동,2022,10,0,0,14097
1121581000,서울특별시 광진구 광장동,2023,7,0,0,7361
1121581000,서울특별시 광진구 광장동,2024,15,0,2,55169
1121582000,서울특별시 광진구 자양1동,2021,72,0,5,131152
1121582000,서울특별시 광진구 자양1동,2022,13,0,0,39134
1121582000,서울특별시 광진구 자양1동,2023,6,0,0,812
1121582000,서울특별시 광진구 자양1동,2024,14,0,0,58169
1121583000,서울특별시 광진구 자양2동,2021,58,0,0,100484
1121583000,서울특별시 광진구 자양2동,2022,7,0,0,6196
1121583000,서울특별시 광진구 자양2동,2023,14,0,2,52452
1121583000,서울특별시 광진구 자양2동,2024,21,0,0,12012
1121584000,서울특별시 광진구 자양3동,2021,43,0,1,78773
1121584000,서울특별시 광진구 자양3동,2022,5,0,0,146459
1121584000,서울특별시 광진구 자양3동,2023,9,0,0,582
1121584000,서울특별시 광진구 자양3동,2024,8,0,1,7480
1121584700,서울특별시 광진구 자양4동,2021,92,1,4,248941
1121584700,서울특별시 광진구 자양4동,2022,9,0,0,35193
1121584700,서울특별시 광진구 자양4동,2023,21,0,0,132781
1121584700,서울특별시 광진구 자양4동,2024,13,0,0,5943
1121585000,서울특별시 광진구 구의1동,2021,67,0,2,153597
1121585000,서울특별시 광진구 구의1동,2022,11,0,0,42259
1121585000,서울특별시 광진구 구의1동,2023,14,0,0,13836
1121585000,서울특별시 광진구 구의1동,2024,20,0,1,65901
1121586000,서울특별시 광진구 구의2동,2021,52,0,0,59573
1121586000,서울특별시 광진구 구의2동,2022,15,0,0,6607
1121586000,서울특별시 광진구 구의2동,2023,16,0,0,6415
1121586000,서울특별시 광진구 구의2동,2024,10,0,0,49051
1121587000,서울특별시 광진구 구의3동,2021,62,0,0,63349
1121587000,서울특별시 광진구 구의3동,2022,8,0,1,30138
1121587000,서울특별시 광진구 구의3동,2023,8,0,0,7060
1121587000,서울특별시 광진구 구의3동,2024,15,0,0,1954
1123053600,서울특별시 동대문구 용신동,2021,97,0,4,515409
1123053600,서울특별시 동대문구 용신동,2022,29,0,4,38300
1123053600,서울특별시 동대문구 용신동,2023,21,0,0,54590
1123053600,서울특별시 동대문구 용신동,2024,32,0,2,2850786
1123054500,서울특별시 동대문구 제기동,2021,132,2,10,4024498
1123054500,서울특별시 동대문구 제기동,2022,22,0,0,42127
1123054500,서울특별시 동대문구 제기동,2023,18,0,4,30943
1123054500,서울특별시 동대문구 제기동,2024,17,0,4,88288
1123056000,서울특별시 동대문구 전농1동,2021,74,3,4,128616
1123056000,서울특별시 동대문구 전농1동,2022,14,0,1,63349
1123056000,서울특별시 동대문구 전농1동,2023,16,2,5,13226
1123056000,서울특별시 동대문구 전농1동,2024,18,0,4,19673
1123057000,서울특별시 동대문구 전농2동,2021,23,2,1,540961
1123057000,서울특별시 동대문구 전농2동,2022,9,1,1,100327
1123057000,서울특별시 동대문구 전농2동,2023,5,0,0,782
