adm_cd,adm_nm,cntr_dist_avg,cntr_dist_median,dispatch_delay_avg,dispatch_delay_median,fire_count_raw,death_cnt,injury_cnt
1159066000,서울특별시 동작구 대방동,1.9384615384615385,2.0,3.8420489296636084,3.9833333333333334,109,0,10
1111055000,서울특별시 종로구 부암동,1.9363636363636363,2.0,4.834770114942529,4.2,58,2,0
1147061000,서울특별시 양천구 신월6동,1.929032258064516,2.0,4.191935483870967,4.416666666666667,31,1,2
1168056500,서울특별시 강남구 청담동,1.920873786407767,2.0,3.7068253968253964,3.5166666666666666,210,0,5
1147054000,서울특별시 양천구 목4동,1.909375,2.0,4.20390625,4.225,64,0,0
1132071000,서울특별시 도봉구 방학3동,1.9000000000000001,2.0,3.5476190476190474,3.5833333333333335,63,0,5
1150054000,서울특별시 강서구 화곡1동,1.8944723618090453,2.0,4.154017094017094,4.0,199,1,10
1162064500,서울특별시 관악구 서원동,1.8944055944055942,2.0,4.36537558685446,4.258333333333333,143,1,9
1168066000,서울특별시 강남구 개포1동,1.8833333333333333,2.0,4.501075268817204,4.083333333333333,31,0,4
1150051000,서울특별시 강서구 염창동,1.8786407766990292,2.0,3.5729559748427673,3.3833333333333333,107,0,3
1171059000,서울특별시 송파구 송파2동,1.876086956521739,2.0,4.030072463768116,4.125,46,0,1
1130561500,서울특별시 강북구 수유1동,1.8703703703703705,2.0,3.683744855967078,3.6833333333333336,81,2,2
1111068000,서울특별시 종로구 창신2동,1.8695652173913044,2.0,4.523188405797101,4.466666666666667,46,0,2
1171067000,서울특별시 송파구 잠실2동,1.8653061224489798,2.0,4.185666666666666,3.775,50,1,5
1153077000,서울특별시 구로구 오류1동,1.8366197183098592,2.0,4.214084507042253,4.216666666666667,71,0,0
1153078000,서울특별시 구로구 오류2동,1.8333333333333333,2.0,4.233506944444445,4.25,96,0,3
1171060000,서울특별시 송파구 석촌동,1.8330985915492959,2.0,3.5950704225352115,3.4333333333333336,142,0,5
1132051400,서울특별시 도봉구 창4동,1.8327586206896551,2.0,3.5683908045977013,3.6833333333333336,58,1,1
1147063000,서울특별시 양천구 신정2동,1.8325581395348836,2.0,4.273809523809524,4.208333333333334,43,0,3
1171063200,서울특별시 송파구 가락2동,1.832258064516129,2.0,3.7691756272401435,3.5833333333333335,93,2,2
1174055000,서울특별시 강동구 고덕1동,1.8285714285714285,1.0,3.520909090909091,3.0,55,3,2
1159054000,서울특별시 동작구 상도2동,1.8229508196721311,2.0,4.850273224043716,4.583333333333333,61,0,1
1126056500,서울특별시 중랑구 면목본동,1.8208955223880596,2.0,3.9588308457711445,4.083333333333333,134,0,7
1165059000,서울특별시 서초구 방배본동,1.8196969696969696,1.6,3.444362745098039,3.25,68,1,11
1147065000,서울특별시 양천구 신정4동,1.8022727272727272,1.5,3.9138686131386864,3.85,137,0,11
1114068000,서울특별시 중구 중림동,1.8,1.9,3.8375,4.025,48,0,2
1132052200,서울특별시 도봉구 도봉2동,1.7988372093023255,2.0,3.5360465116279074,3.5083333333333333,86,0,3
1121587000,서울특별시 광진구 구의3동,1.796153846153846,2.0,4.238247863247863,4.091666666666667,78,0,1
1171068000,서울특별시 송파구 잠실3동,1.7907407407407407,1.9,3.8929012345679013,3.8166666666666664,54,0,0
1165062000,서울특별시 서초구 방배3동,1.7819672131147541,2.0,3.9661290322580647,3.6916666666666664,62,0,8
1132051300,서울특별시 도봉구 창3동,1.7783333333333333,2.0,2.899726775956284,2.95,61,2,2
1171072000,서울특별시 송파구 잠실7동,1.7692307692307692,2.0,3.6474358974358974,3.5666666666666664,13,0,1
1156055000,서울특별시 영등포구 당산1동,1.7673684210526317,2.0,3.4947368421052634,3.3833333333333333,95,1,6
1150053500,서울특별시 강서구 등촌3동,1.76734693877551,2.0,3.498453608247423,3.5166666666666666,98,1,3
1165065200,서울특별시 서초구 양재2동,1.7630872483221476,1.2,3.5880801687763713,3.3499999999999996,158,0,8
1159067000,서울특별시 동작구 신대방1동,1.7604651162790699,2.0,4.27422480620155,4.283333333333333,86,1,10
1150059100,서울특별시 강서구 화곡6동,1.7592592592592593,2.0,3.6580246913580248,3.6916666666666664,108,1,3
1117056000,서울특별시 용산구 원효로1동,1.7511904761904762,2.0,3.7888888888888888,3.658333333333333,84,0,4
1121584700,서울특별시 광진구 자양4동,1.7508620689655172,2.0,3.580054644808743,3.35,122,1,4
1174053000,서울특별시 강동구 명일1동,1.7486486486486488,2.0,3.589555555555555,3.3833333333333333,75,0,3
1150064100,서울특별시 강서구 방화3동,1.7482758620689656,1.0,3.916944444444445,3.7,60,1,8
1120069000,서울특별시 성동구 성수2가3동,1.7439759036144578,1.9,3.943131313131313,4.0,166,0,3
1150059300,서울특별시 강서구 화곡8동,1.7439560439560438,2.0,4.382971014492754,4.541666666666666,92,1,2
1126057500,서울특별시 중랑구 면목3·8동,1.7431372549019608,2.0,3.9361111111111113,3.9166666666666665,102,0,6
1150056000,서울특별시 강서구 화곡3동,1.7338983050847456,2.0,3.7816384180790963,3.7333333333333334,59,0,0
1168061000,서울특별시 강남구 대치2동,1.7338709677419355,2.0,3.4293333333333336,3.35,126,1,2
1117064000,서울특별시 용산구 이촌2동,1.7333333333333334,1.0,4.946794871794872,3.675,26,0,0
1150063000,서울특별시 강서구 방화1동,1.7333333333333334,2.0,4.004970760233918,4.0,115,0,3
1168063000,서울특별시 강남구 대치4동,1.731875,2.0,3.684375,3.6166666666666667,160,0,3
1171062000,서울특별시 송파구 가락본동,1.7272058823529413,1.95,3.8466911764705882,3.8583333333333334,136,1,3
1129059000,서울특별시 성북구 돈암2동,1.7222222222222223,2.0,3.8858024691358026,4.083333333333333,27,0,0
1126055000,서울특별시 중랑구 면목5동,1.7216216216216218,2.0,3.8157657657657658,3.7333333333333334,37,0,1
1171056600,서울특별시 송파구 오륜동,1.7161290322580647,2.0,3.421957671957672,3.5166666666666666,63,1,5
1147061100,서울특별시 양천구 신월7동,1.7139240506329114,2.0,4.218987341772152,4.166666666666667,79,1,3
1126062000,서울특별시 중랑구 묵1동,1.71,2.0,3.418315018315018,3.4166666666666665,91,1,5
1147058000,서울특별시 양천구 신월3동,1.709090909090909,2.0,4.034583333333333,4.033333333333333,80,0,0
1147057000,서울특별시 양천구 신월2동,1.7079365079365079,2.0,3.908333333333333,4.025,64,1,6
1120057000,서울특별시 성동구 행당2동,1.707142857142857,1.5,3.519642857142857,3.325,28,0,2
1159053000,서울특별시 동작구 상도1동,1.7059322033898305,1.75,3.927777777777778,3.7,123,3,3
1132051200,서울특별시 도봉구 창2동,1.6849056603773584,2.0,3.4099056603773583,3.425,106,0,5
1126059000,서울특별시 중랑구 상봉2동,1.6828125,1.95,3.487109375,3.6416666666666666,128,0,7
1144061000,서울특별시 마포구 염리동,1.68,1.9,3.832857142857143,3.75,35,0,4
1147059000,서울특별시 양천구 신월4동,1.6781818181818182,2.0,3.8254545454545457,3.8833333333333333,55,0,1
1130563500,서울특별시 강북구 수유3동,1.6781456953642384,2.0,3.498233995584989,3.5,153,0,8
1168064000,서울특별시 강남구 역삼1동,1.6740343347639486,1.5,3.9146723646723647,3.8333333333333335,468,0,21
1129071500,서울특별시 성북구 월곡1동,1.6660714285714284,2.0,3.5055555555555555,3.6166666666666667,57,0,3
1156060500,서울특별시 영등포구 문래동,1.6635714285714287,1.75,3.612121212121212,3.8166666666666664,143,1,6
1135056000,서울특별시 노원구 월계1동,1.6584269662921347,1.9,3.2198501872659175,3.25,89,0,2
1174060000,서울특별시 강동구 천호1동,1.6580000000000001,2.0,3.901666666666667,3.8916666666666666,100,0,8
1141056500,서울특별시 서대문구 충현동,1.6537190082644628,1.5,3.980597014925373,4.324999999999999,134,0,4
1147056000,서울특별시 양천구 신월1동,1.6513157894736843,2.0,3.577136752136752,3.6833333333333336,78,0,1
1123061000,서울특별시 동대문구 답십리2동,1.6508196721311477,2.0,3.8131147540983608,3.95,61,1,3
1162058500,서울특별시 관악구 낙성대동,1.6504587155963304,1.5,3.557878787878788,3.1833333333333336,111,0,7
1174059000,서울특별시 강동구 암사3동,1.6444444444444444,1.5,3.8187943262411346,3.6833333333333336,47,0,11
1154563000,서울특별시 금천구 독산3동,1.6432,2.0,3.95,3.841666666666667,125,1,1
1138053000,서울특별시 은평구 불광2동,1.6428571428571428,2.0,3.6765258215962437,3.85,72,1,9
1123057000,서울특별시 동대문구 전농2동,1.6324324324324324,1.8,3.877027027027027,4.016666666666667,37,3,2
1159056000,서울특별시 동작구 상도4동,1.622093023255814,1.5499999999999998,4.696743295019157,4.583333333333333,87,1,7
1132070000,서울특별시 도봉구 방학2동,1.6220183486238533,1.1,3.2562121212121213,3.1666666666666665,110,1,2
1156071000,서울특별시 영등포구 대림2동,1.6123809523809525,1.5,3.5082539682539684,3.5,105,0,5
1165058100,서울특별시 서초구 반포4동,1.611904761904762,1.6,3.3722846441947563,3.216666666666667,89,0,3
1111054000,서울특별시 종로구 삼청동,1.6099999999999999,1.85,4.043333333333333,4.05,30,0,2
1141070000,서울특별시 서대문구 남가좌2동,1.6076923076923078,1.3,4.092307692307692,4.116666666666666,91,3,3
1126063000,서울특별시 중랑구 묵2동,1.603030303030303,1.6,3.439800995024876,3.5,67,0,5
1135060000,서울특별시 노원구 공릉2동,1.6026315789473684,1.4,3.6811403508771927,3.558333333333333,114,0,4
1150061100,서울특별시 강서구 발산1동,1.5892156862745097,1.0,3.8088996763754044,3.7,105,0,2
1114052000,서울특별시 중구 소공동,1.589010989010989,1.3,3.758241758241758,3.8166666666666664,91,1,9
1153056000,서울특별시 구로구 구로5동,1.5827272727272728,1.6,3.8868181818181817,3.8916666666666666,110,0,1
1156054000,서울특별시 영등포구 여의동,1.5789473684210527,1.2,3.501041666666667,3.3166666666666664,192,3,14
1117059000,서울특별시 용산구 용문동,1.5771428571428572,1.7,4.167619047619048,4.083333333333333,35,0,1
1162068500,서울특별시 관악구 신사동,1.575728155339806,1.6,3.8165064102564106,3.5083333333333333,104,2,2
1153059500,서울특별시 구로구 가리봉동,1.5746835443037976,1.2,4.0270042194092825,4.0,79,2,2
1129068500,서울특별시 성북구 길음2동,1.5739130434782609,1.5,3.230952380952381,3.3166666666666664,49,1,2
1129077000,서울특별시 성북구 장위2동,1.5727272727272728,1.0,3.4212121212121214,3.35,44,1,1
1165052000,서울특별시 서초구 서초2동,1.5724489795918366,1.1,3.352450980392157,3.175,102,0,5
1121574000,서울특별시 광진구 중곡1동,1.5714285714285714,1.4,3.980357142857143,3.7,56,0,2
1147064000,서울특별시 양천구 신정3동,1.5673469387755101,1.3,4.05202492211838,3.6666666666666665,107,1,5
1156066000,서울특별시 영등포구 신길4동,1.5655172413793104,1.5,4.102873563218391,4.0,29,0,3
1162061500,서울특별시 관악구 중앙동,1.561842105263158,1.2,3.7844298245614034,3.466666666666667,76,1,1
1138055200,서울특별시 은평구 갈현2동,1.556989247311828,1.6,3.7189964157706092,3.6666666666666665,94,1,2
1159052000,서울특별시 동작구 노량진2동,1.5538461538461539,1.2,3.8484848484848486,3.591666666666667,66,1,5
1132067000,서울특별시 도봉구 쌍문2동,1.5493333333333335,1.5,2.9144444444444444,3.0,75,0,5
1168075000,서울특별시 강남구 수서동,1.5466666666666666,1.0,3.817777777777778,3.5,45,0,3
1123066000,서울특별시 동대문구 장안2동,1.546601941747573,1.6,3.6194174757281554,3.183333333333333,103,0,4
1120054000,서울특별시 성동구 마장동,1.5458015267175573,1.3,3.84529262086514,3.75,131,0,8
1132068100,서울특별시 도봉구 쌍문4동,1.5439024390243903,1.6,3.143495934959349,3.1166666666666667,41,0,4
1162052500,서울특별시 관악구 보라매동,1.5430379746835443,1.3,3.572995780590717,3.0,79,1,7
1126058000,서울특별시 중랑구 상봉1동,1.5359375,1.45,3.376822916666667,3.408333333333333,64,3,10
1111063000,서울특별시 종로구 종로5·6가동,1.5339285714285715,1.35,3.2250737463126846,3.1666666666666665,113,7,9
1126057000,서울특별시 중랑구 면목7동,1.5266666666666666,1.5,3.8991228070175437,3.9833333333333334,77,3,9
1117052000,서울특별시 용산구 용산2가동,1.5262295081967212,1.3,4.617213114754098,4.6,61,0,1
1135059500,서울특별시 노원구 공릉1동,1.525984251968504,1.2,3.273205128205128,3.3,130,0,5
1114060500,서울특별시 중구 을지로동,1.525,1.75,3.218880208333333,3.225,128,3,8
1154561000,서울특별시 금천구 독산1동,1.5244791666666666,1.0,3.5874788494077836,3.216666666666667,197,1,10
1117066000,서울특별시 용산구 이태원2동,1.5233333333333334,1.6,4.173333333333334,4.216666666666667,60,0,3
1129081000,서울특별시 성북구 석관동,1.5171171171171172,1.2,3.209009009009009,3.0,111,0,5
1121586000,서울특별시 광진구 구의2동,1.5132530120481926,1.2,3.7309236947791167,3.6166666666666667,83,0,0
1168054500,서울특별시 강남구 압구정동,1.5100529100529099,1.0,3.3246699669966997,3.1,202,0,6
1162056500,서울특별시 관악구 성현동,1.5059701492537314,1.0,3.654726368159204,3.6166666666666667,67,0,2
1154571000,서울특별시 금천구 시흥5동,1.5030303030303032,1.0,4.407828282828283,4.041666666666666,66,0,3
1135063000,서울특별시 노원구 상계1동,1.4990909090909093,1.0,3.3223611111111113,2.975,120,0,3
1117068500,서울특별시 용산구 한남동,1.4989949748743718,1.0,4.069756097560975,3.9,205,0,2
1135067000,서울특별시 노원구 상계5동,1.4983870967741937,1.0,3.6317204301075265,3.7333333333333334,62,1,5
1156051500,서울특별시 영등포구 영등포본동,1.4904761904761905,1.4,3.8932539682539677,3.9333333333333336,84,3,3
1114057000,서울특별시 중구 필동,1.4894736842105263,1.0,3.263137254901961,3.5,85,0,0
1171057000,서울특별시 송파구 오금동,1.4886363636363635,1.0,3.090096618357488,3.041666666666667,138,1,10
1141061500,서울특별시 서대문구 연희동,1.486635944700461,1.0,3.2331159420289857,3.2,230,2,13
1168053100,서울특별시 강남구 논현2동,1.4793103448275862,1.1,3.53716744913928,3.55,214,0,2
1121577000,서울특별시 광진구 중곡4동,1.4783132530120482,1.2,3.6712121212121214,3.658333333333333,88,2,6
1159065100,서울특별시 동작구 사당5동,1.478125,1.0,3.4205882352941175,3.2083333333333335,34,0,1
1126068000,서울특별시 중랑구 신내1동,1.475,1.0,3.556481481481481,3.466666666666667,90,0,4
1132051500,서울특별시 도봉구 창5동,1.474390243902439,1.2,3.0414634146341464,3.0,82,1,5
1174061000,서울특별시 강동구 천호2동,1.4679347826086957,1.2,3.2172014260249555,3.1666666666666665,187,3,15
1162059500,서울특별시 관악구 청룡동,1.4677685950413222,1.1,3.324453551912568,3.3666666666666667,122,0,4
1111070000,서울특별시 종로구 숭인1동,1.4666666666666666,1.0,3.7127777777777777,3.7083333333333335,30,1,2
1171061000,서울특별시 송파구 삼전동,1.465079365079365,1.1,3.2460858585858587,3.15,132,0,9
1174066000,서울특별시 강동구 성내3동,1.4610526315789474,1.2,3.0840350877192986,3.05,95,0,3
1171053100,서울특별시 송파구 거여1동,1.4590909090909092,1.0,2.7196296296296296,2.75,45,0,2
1132051100,서울특별시 도봉구 창1동,1.4555555555555555,1.0,3.053603603603604,3.0,74,0,6
1123074000,서울특별시 동대문구 이문1동,1.4541666666666666,1.15,3.643287037037037,3.6333333333333333,73,1,1
1150061500,서울특별시 강서구 우장산동,1.4506849315068493,1.0,3.3044303797468357,3.1666666666666665,79,0,3
1111067000,서울특별시 종로구 창신1동,1.4505882352941175,1.1,3.9905882352941173,3.6666666666666665,85,0,0
1168072000,서울특별시 강남구 일원본동,1.4485714285714286,1.0,3.5815315315315317,3.4333333333333336,37,0,1
1156062000,서울특별시 영등포구 양평2동,1.4447154471544714,1.0,3.747883597883598,3.4583333333333335,127,0,8
1117069000,서울특별시 용산구 서빙고동,1.4358490566037734,1.0,4.304970760233918,4.0,57,0,1
1123072000,서울특별시 동대문구 휘경1동,1.4345454545454546,1.0,3.0816666666666666,3.1166666666666667,60,0,3
1120055000,서울특별시 성동구 사근동,1.43109243697479,1.0,3.203781512605042,3.066666666666667,120,0,6
1156068000,서울특별시 영등포구 신길6동,1.4214285714285713,1.0,3.218154761904762,3.2333333333333334,56,1,8
