adm_cd,adm_nm,risk_class,risk_index,hotspot_rank,lat,lon,fire_count
1132052100,서울특별시 도봉구 도봉1동,최우선 대응,100.0,1,37.68041109779816,127.04298908990826,109
1132052100,서울특별시 도봉구 도봉1동,최우선 대응,100.0,2,37.69160529999999,127.04420983846155,13
1132052100,서울특별시 도봉구 도봉1동,최우선 대응,100.0,3,37.67804706666667,127.03493186666667,3
1141068500,서울특별시 서대문구 홍은2동,최우선 대응,96.69,1,37.580416052765955,126.92918633829784,94
1141068500,서울특별시 서대문구 홍은2동,최우선 대응,96.69,2,37.58684364714286,126.93241357142857,21
1141068500,서울특별시 서대문구 홍은2동,최우선 대응,96.69,3,37.59339242,126.93383237368423,19
1135066500,서울특별시 노원구 상계3·4동,최우선 대응,92.46,1,37.67060825417911,127.08058795522388,67
1135066500,서울특별시 노원구 상계3·4동,최우선 대응,92.46,2,37.66374974285714,127.07596677857141,14
1135066500,서울특별시 노원구 상계3·4동,최우선 대응,92.46,3,37.66855775,127.07168469999999,4
1132070000,서울특별시 도봉구 방학2동,최우선 대응,90.56,1,37.66761230533333,127.03488725523809,105
1132070000,서울특별시 도봉구 방학2동,최우선 대응,90.56,2,37.66475546666666,127.0309195,3
1132070000,서울특별시 도봉구 방학2동,최우선 대응,90.56,3,37.6689964,127.02898265,2
1154570000,서울특별시 금천구 시흥4동,최우선 대응,89.05,1,37.45928315566667,126.90796006666666,60
1132066000,서울특별시 도봉구 쌍문1동,최우선 대응,87.5,1,37.65688960692308,127.01611779038461,52
1132066000,서울특별시 도봉구 쌍문1동,최우선 대응,87.5,2,37.650501221025635,127.02425079487178,39
1132066000,서울특별시 도봉구 쌍문1동,최우선 대응,87.5,3,37.651503194285716,127.01379095714286,7
1123054500,서울특별시 동대문구 제기동,최우선 대응,86.07,1,37.58371530660715,127.03801946666668,168
1123054500,서울특별시 동대문구 제기동,최우선 대응,86.07,2,37.5823450175,127.0300879,4
1154569000,서울특별시 금천구 시흥3동,최우선 대응,86.02,1,37.44097467071428,126.9039214095238,42
1154569000,서울특별시 금천구 시흥3동,최우선 대응,86.02,2,37.436665004999995,126.904272,2
1154569000,서울특별시 금천구 시흥3동,최우선 대응,86.02,3,37.445835474999996,126.9037065,2
1153076000,서울특별시 구로구 개봉3동,최우선 대응,85.52,1,37.48721067540541,126.85492347027028,74
1132051300,서울특별시 도봉구 창3동,최우선 대응,84.18,1,37.63694327616667,127.04084000999998,60
